tile,repetition,codec,preset,qp,height,time
suburb13.y4m,2,hevc_nvenc,p2,36,0,6.536
suburb13.y4m,3,hevc_nvenc,p2,36,0,6.548
suburb13.y4m,4,hevc_nvenc,p2,36,0,6.558
suburb13.y4m,0,hevc_nvenc,p2,36,320,4.064
suburb13.y4m,1,hevc_nvenc,p2,36,320,4.519
suburb13.y4m,2,hevc_nvenc,p2,36,320,4.102
suburb13.y4m,3,hevc_nvenc,p2,36,320,4.064
suburb13.y4m,4,hevc_nvenc,p2,36,320,3.912
suburb13.y4m,0,hevc_nvenc,p2,38,0,6.559
suburb13.y4m,1,hevc_nvenc,p2,38,0,6.542
suburb13.y4m,2,hevc_nvenc,p2,38,0,6.527
suburb13.y4m,3,hevc_nvenc,p2,38,0,6.574
suburb13.y4m,4,hevc_nvenc,p2,38,0,6.547
suburb13.y4m,0,hevc_nvenc,p2,38,320,4.522
suburb13.y4m,1,hevc_nvenc,p2,38,320,4.477
suburb13.y4m,2,hevc_nvenc,p2,38,320,4.182
suburb13.y4m,3,hevc_nvenc,p2,38,320,4.076
suburb13.y4m,4,hevc_nvenc,p2,38,320,4.037
suburb13.y4m,0,hevc_nvenc,p2,40,0,6.57
suburb13.y4m,1,hevc_nvenc,p2,40,0,6.547
suburb13.y4m,2,hevc_nvenc,p2,40,0,6.537
suburb13.y4m,3,hevc_nvenc,p2,40,0,6.535
suburb13.y4m,4,hevc_nvenc,p2,40,0,6.541
suburb13.y4m,0,hevc_nvenc,p2,40,320,3.957
suburb13.y4m,1,hevc_nvenc,p2,40,320,4.118
suburb13.y4m,2,hevc_nvenc,p2,40,320,4.27
suburb13.y4m,3,hevc_nvenc,p2,40,320,4.302
suburb13.y4m,4,hevc_nvenc,p2,40,320,4.399
suburb13.y4m,0,hevc_nvenc,p3,18,0,7.08
suburb13.y4m,1,hevc_nvenc,p3,18,0,7.046
suburb13.y4m,2,hevc_nvenc,p3,18,0,7.04
suburb13.y4m,3,hevc_nvenc,p3,18,0,7.057
suburb13.y4m,4,hevc_nvenc,p3,18,0,7.141
suburb13.y4m,0,hevc_nvenc,p3,18,320,4.391
suburb13.y4m,1,hevc_nvenc,p3,18,320,4.14
suburb13.y4m,2,hevc_nvenc,p3,18,320,4.207
